domain,split,stem,input_relpath,target_relpath,input_bytes,target_bytes,input_sha256,target_sha256
FoggyCityscapes,train,0001,FoggyCityscapes/input/0001.png,FoggyCityscapes/target/0001.png,207844,239371,1bbd3ccbeed80ada887d73cfa7d17fa6fcb4a335aac3218671addf3ca15f5f7a,7a6e0c7b2bb1c0bbf4c6ddab36d1b7f6a8559de2319ebf0b29fb357fe485159e
FoggyCityscapes,train,0002,FoggyCityscapes/input/0002.png,FoggyCityscapes/target/0002.png,180811,203615,34a212dca66ad9244b37ec04d290fc46a7454f31f643d33adb22e8f00ed8fa53,b6ed2ffeba490d1ad83ce347ff75e069486827c83aeb481629950d2b01cdb552
FoggyCityscapes,train,0003,FoggyCityscapes/input/0003.png,FoggyCityscapes/target/0003.png,222731,233111,49d4c638349bf0b2f3b594b7eaa6a7e1a55026b8bdbef4e363304998efa8e8ed,e959ef0fb518cdbf532b7303cedb9a7e62eb3fa592e185dfdc0a7f825c776426
FoggyCityscapes,train,0005,FoggyCityscapes/input/0005.png,FoggyCityscapes/target/0005.png,211421,224058,63c1211ac6a15531d3ed40fd9ba8043888108be01513d7807beaaf80c3b8a52a,a89a54a12f3628821f693ef1a355d4a4c780d6f02bbc850d5d14c54323f97644
FoggyCityscapes,train,0006,FoggyCityscapes/input/0006.png,FoggyCityscapes/target/0006.png,184666,202769,52f682c32505fb1320a660a2c2d98b769db901e0f58a8a3a1ceb2ab4e477d97b,a027873b2e5c531ce05b4483ceeb1d25c4c417173e9d38ce1f928e5ce7e83628
FoggyCityscapes,train,0007,FoggyCityscapes/input/0007.png,FoggyCityscapes/target/0007.png,191685,208979,8d5c01c7dac45b50a1a43f3caf888a7fd42abc060582e59fcb8fa00c153e9fd6,be7d63611ac2c49227b4a98ffbd339490afd7042ca3b6843d20e1d288465d8dc
FoggyCityscapes,train,0008,FoggyCityscapes/input/0008.png,FoggyCityscapes/target/0008.png,158230,194604,e050227da338cc81e142baff02c6309597c4a410149d34b39b835e1312d06e5a,89b0d416f9760e6c31e77a525f7519680e9cf65a38d83107f02cc21f5e0223ba
FoggyCityscapes,train,0009,FoggyCityscapes/input/0009.png,FoggyCityscapes/target/0009.png,193053,228586,ba0372fdc62f6f37bb54e263d5e29db9d4922a0e641ef8c0eab680f6a0e66f90,6c840b5345663211cd5d5e17171d9f6a7d42518d03e5902fa52742430456fd73
FoggyCityscapes,train,0010,FoggyCityscapes/input/0010.png,FoggyCityscapes/target/0010.png,184985,200965,fa6c2ebbf1983c676721ae0a776fbdefb3f72ee93295e9f58c1d05bbe0e6e57f,1194db2a9ebc2205327a81c9ed00871eab55351b6308265fc38e0c8caab5a056
FoggyCityscapes,train,0011,FoggyCityscapes/input/0011.png,FoggyCityscapes/target/0011.png,192624,205821,6a8eebc91b1107f309605a5473a055992ff2ff1fe081eccc9a429f839aa3b0a6,8e49dcb60c11399ff39a228a5d7f57ab5858741020c686b0fef5e66cdd2f8714
FoggyCityscapes,train,0012,FoggyCityscapes/input/0012.png,FoggyCityscapes/target/0012.png,187298,199483,4fe44c01e637435c2c722ea26a37f00d5b395e4f3d46999714a98c662118bf0f,aaa40fceef3ac26c97b2c58d0ec83bd1ae44891229add0d8b19008bae6be0dd3
FoggyCityscapes,train,0013,FoggyCityscapes/input/0013.png,FoggyCityscapes/target/0013.png,184893,199016,50b5cb41476b01f630aef3e0a3a88501772d85419cbc197ba13ab97cfa7ba83a,c566c79b125e4ce093a4793962dde74e88932b9e5df8d3eef7717cf6943fd2e6
FoggyCityscapes,train,0014,FoggyCityscapes/input/0014.png,FoggyCityscapes/target/0014.png,124744,182560,9129368bd8cb9a0d933df41a025cd053733ecfbd0c1d97a643791ad8d636a329,1b9f17be9685938e1eaea57f3f04fa06a8588ca20c994ffe36fc554ff5622d46
FoggyCityscapes,train,0015,FoggyCityscapes/input/0015.png,FoggyCityscapes/target/0015.png,206095,215838,e0f02210b1d0d77574eea42f801360de348d1c3c0086a5d092ba51aff2c20b62,996c69d09dd95c7ff9cc937b9024d0c2ca6ec7841016379352c05f4526650414
FoggyCityscapes,train,0016,FoggyCityscapes/input/0016.png,FoggyCityscapes/target/0016.png,166491,194863,5d0ac37d55f59f6ef1cf824dbfc9f14861d6d8de90ae4deab2b691b135637832,b68dd67ea849125852899db1942dc46aa4ad3518c3bb15c2b8bd8a8e16d9fb70
FoggyCityscapes,train,0017,FoggyCityscapes/input/0017.png,FoggyCityscapes/target/0017.png,192688,213807,c6cb80920d3bc3b55d569f0b960a70e183663a05942e7a7048f081932cc3716f,5dab40e53d8b3793626f6ad38cb6b96999e1a2d9accb1857f8eb0cf280bedc67
FoggyCityscapes,train,0018,FoggyCityscapes/input/0018.png,FoggyCityscapes/target/0018.png,223638,240914,d43f6f5730533bfa29ae7d4e0a52b5988727000a98e17167862142e83a92a5f3,0c0e8b1a4cd61dfbac6fb778cf65934d8e2baf4dc4690329a43523d8acbfaa4e
FoggyCityscapes,train,0019,FoggyCityscapes/input/0019.png,FoggyCityscapes/target/0019.png,187921,212081,d4e32dc161de6915d5ea4fc187600dc5722aa9b63d96f1409b22c401dfbe7578,8eb7cee136b6baca60201ca73229333dcd8d2c502f90fc4a1be846c2b9398b75
FoggyCityscapes,train,0020,FoggyCityscapes/input/0020.png,FoggyCityscapes/target/0020.png,124959,178892,f251fe53d76551a2018ebe4d33c12de006e62427432a0dccf37f0c6aa7b5470e,299d09836004a0a91bf414c26bb1beadf5beecc84dd7b353d377c97785608e35
FoggyCityscapes,train,0021,FoggyCityscapes/input/0021.png,FoggyCityscapes/target/0021.png,170663,211968,f0ecb9f190957c704815517960289bbcca56e16a4fd46c1372eafcd939520840,99312c245ecf26f1ad274bf346799efe5642a8d7247f90cf8acdb11c086a45e4
FoggyCityscapes,train,0022,FoggyCityscapes/input/0022.png,FoggyCityscapes/target/0022.png,202743,214896,e1db63eafd8aca78cb0982babb159a491b6072c7b12c3939dabfaf195a7a9e67,101cd09c3483ece955d68b36519aa639fd1145f1ee5f515a253386d9e0620bdf
FoggyCityscapes,train,0023,FoggyCityscapes/input/0023.png,FoggyCityscapes/target/0023.png,168274,204039,58c3ef5efd5dc0d88c14c2bb8a8577db64e08e666ff548bbfc73eb2499114fbc,12ac0ea1ad2493e44a675c1db2627e22a5ea977e1cfbbae58449bca9149eb1a2
FoggyCityscapes,train,0024,FoggyCityscapes/input/0024.png,FoggyCityscapes/target/0024.png,192940,203758,963bf8ffb776f291c9221fd1e2a9a06fc86eaec7b126142f59d58f7ce3c0d606,39683974e3ece51417b36c1386987fc739c08454fd420fc3f6ed9e5ef9e6f43f
FoggyCityscapes,train,0025,FoggyCityscapes/input/0025.png,FoggyCityscapes/target/0025.png,189704,211727,e8c764486f6f484ceb5e5ae36bc3d3db6656501ce73a2f9e46773a0277f9f88a,4d9e601fb39e8b78b73e14827adbb77a22c37011d2d7a166bd275e3ddcbd67f5
FoggyCityscapes,train,0026,FoggyCityscapes/input/0026.png,FoggyCityscapes/target/0026.png,173589,204569,b1ad2df29926084f49b2d1d7325acf7bd7499da59de18d4b94a8c968b5a49f4c,f51d60538efe341907cd11e20cd53b7c878d5f01e4f8ab787aebb3b80a74bc18
FoggyCityscapes,train,0027,FoggyCityscapes/input/0027.png,FoggyCityscapes/target/0027.png,210608,215847,aa0059ca30a756cae2a581db0d3a3753f8239b6cb4cd885bc35bc26f465224e0,e957fc3cc0d684177988e0762c56361e08ea79675be4fb507efe6e2c4b4ca316
FoggyCityscapes,train,0028,FoggyCityscapes/input/0028.png,FoggyCityscapes/target/0028.png,201236,213921,b5fb9560bfa6e2843eabd9ab9354705002d219e3154adb36108d05dd021f8ab8,7ca0efbc0efb1cd67b29f5e81e1d8d4a4229a968f3173a9b59264ff37a4bc656
FoggyCityscapes,train,0029,FoggyCityscapes/input/0029.png,FoggyCityscapes/target/0029.png,195077,213454,324fa304114adb53bd18fe5a7825a533e7eee6979920921b5632d0507163a8d7,21255dab0bdc878b7c9c17151ad58311beb80a094091eed7bddce39e378b5ca9
FoggyCityscapes,train,0030,FoggyCityscapes/input/0030.png,FoggyCityscapes/target/0030.png,221044,231545,9aabc487f3fc84f6bde0f9968b273acc906d0807a56712820831d2562a29fc9b,8101506c7bd3ac80af466dc9a28b057ef187740001a7b22403fc5bb79b2f3860
FoggyCityscapes,train,0031,FoggyCityscapes/input/0031.png,FoggyCityscapes/target/0031.png,200393,216636,46cacfa8551ea5b09b68b8f15b450f2e36997acabe90fa7de4ccd092779f9aee,b9dfe79d2d6dc2ee910f5d243b29e959847f83a7adecf264dad40598b9c0ddd0
FoggyCityscapes,train,0032,FoggyCityscapes/input/0032.png,FoggyCityscapes/target/0032.png,183785,232137,2daa893e82746bc67c17e200fb858a606f58ee01c888ba4c819addf5cc8ed9f2,b5da875d5b2f5e597dc20fca1135c084f69079cadaa1927fb3d2945a68fc833e
FoggyCityscapes,train,0033,FoggyCityscapes/input/0033.png,FoggyCityscapes/target/0033.png,147837,184850,1ee7cfec1f77f04a6ae3df4bdd9df65b1986083d7332eddc92aa8f0839609510,49bfc58b73ff0e52e95d3aea5a9b54a6d9ad2731cc07b863d351befdfbd3a66d
FoggyCityscapes,train,0034,FoggyCityscapes/input/0034.png,FoggyCityscapes/target/0034.png,182228,204856,c8940d162932e3a1cdff26cd88742dae196a4ffd510010ccfbe60753118ca1c8,877cc3a69a52c3683ba83f2bd9fcf14b5e8592af3464278fd38acb93b871d136
FoggyCityscapes,train,0035,FoggyCityscapes/input/0035.png,FoggyCityscapes/target/0035.png,171024,188944,ed7adcea8a3c2075e14410808eda52734431d217f3b67e3d99ab5127010503d6,acbe44f1a01dac9db6a139095e1fcd6a1653638b1aa9b2f2abf257a1429562db
FoggyCityscapes,train,0036,FoggyCityscapes/input/0036.png,FoggyCityscapes/target/0036.png,170910,186791,d631694f83bdf58caf580d68f11b9befea2f7ab68074406f98e6a5d735013166,249759d89333e124dd965ef3aa31b48f6a9dd491e33baf2a9d4cae8df5a0075a
FoggyCityscapes,train,0037,FoggyCityscapes/input/0037.png,FoggyCityscapes/target/0037.png,173678,182221,db3453a50f59fab0fbf66ebdac46acf23c7b10106fb80afe92afdccf9013cd58,5a5c7e893155d48d3696daab5cc053855fd93484f8ec5f96adf83063f6e8b6d8
FoggyCityscapes,train,0038,FoggyCityscapes/input/0038.png,FoggyCityscapes/target/0038.png,182629,210052,6d6a499ab2a9c0f150373340b1a81a00bff7df050d82244632c42a30612318e3,f734cad0e1a0edc3d0c60939c000339cc188f80cca79c766103b2a2a4e5462a1
FoggyCityscapes,train,0039,FoggyCityscapes/input/0039.png,FoggyCityscapes/target/0039.png,193546,222981,ca9dfbc3d5483c41bd7234302c7fa3fd29e623a82025bf8c1b60d3ddf9fd5cc8,cafe5bf976ca0c92535eacac19747e49108e1c184a28ce8fb854d5f860230cf0
FoggyCityscapes,train,0040,FoggyCityscapes/input/0040.png,FoggyCityscapes/target/0040.png,165428,207243,b060c061f2cc38ddf91d0c587aa74478bd3aaa80919d10aaa175126e9da38cca,8b5506d3d5cd60ba13ad4e022e623bf1c7c86454bc67e2d03bf106c3c4b0f053
FoggyCityscapes,train,0041,FoggyCityscapes/input/0041.png,FoggyCityscapes/target/0041.png,178426,215032,ef5b8f2d5aa593361804f81115f90da4817748c0894697638619efb59b03f4a8,e65e666f31277d47acad869d1c322abf4e95ca553eb9a3da181241c8698ec308
FoggyCityscapes,train,0042,FoggyCityscapes/input/0042.png,FoggyCityscapes/target/0042.png,223113,232485,6223c42de1bbd278ec5ea0c036df05dcd9c7b20883bb4e5d29c8f3fdae582942,901bf8085db87f0f09544b0ced3359dd436f806d6a5c58d79afc6e1e93b1d2d4
